Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
"Lihat noh tampang lu, tampang banci, LGBT! URL",1,1,1,0,0,0,1,1,0,1,0,0
"USER USER Muka lu cabul, kalo punya muka sih, tapi banci mah beraninya anonim...'",1,1,1,0,0,0,1,1,0,1,0,0
USER USER USER USER USER USER katanya indonesia lenyap 2030... punya pujaan TOLOL ya pengikutnya lebih TOLOL... dan bencong... anak nya pun ikut BENCONG..',1,1,0,1,0,0,0,1,0,0,1,0
USER Dasar ckck maho',1,1,1,0,0,0,0,1,0,1,0,0
"USER Ade ustad yg otaknye nangkring di dengkul sampai susah jalan kalau gak dibantu amplop, tetep dibiarin NgOCEh ngalor kidul.\nAde ustad miara jenggot bandot, doyannya jd provokator, nyantai2 aja die, gak diapa-apain.\nAde ustad perutnye bun",1,1,1,0,0,0,1,0,0,1,0,0
USER ogah yg ngajak plh jkw pasti idiot',1,1,0,1,0,0,1,0,0,0,1,0
USER USER Kalo cacat otak jangan dipelihara',1,1,1,0,0,0,1,0,0,1,0,0
"USER USER USER MATAMU PICEK A? Duit gak ada maksa beli, hutang belum release baru mau disiapkan 11 bank sudah koar2. Entar waktu bayar dana gak ada jawabnya "" BUKAN URUSAN SAYA "". DUNGU PLUS KOPLAK diambil semua'",1,1,1,0,0,0,1,0,0,1,0,0
USER Banci kaleng',1,1,1,0,0,0,0,1,0,1,0,0
USER USER Ancem2an kaya banci aja jancok',1,1,1,0,0,0,0,1,0,1,0,0
"USER What, nulis ""sportifitas"" saja salah? Harusnya kan ""sportivitas"" baru benar. Ahai... banci kaleng kena goreng lagi... memalukan si gembel warnet. \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",1,1,1,0,0,0,0,1,0,1,0,0
USER Bangsat banci manatuh\xf0\x9f\x98\x82',1,1,1,0,0,0,0,1,0,1,0,0
USER balesnya lama banget ih si pecun :( gercep dong ah',1,1,1,0,0,0,0,1,0,1,0,0
"Urus endog saja ga pecus gmn dgn urusan yg lain ,\n\nDasar cungkring dah pea ,minta 2 x'",1,1,1,0,0,0,1,0,0,1,0,0
USER Tweet kamu bikin netizen suudzon ke kamu. Kurang-kurangin. Ngentod',1,1,1,0,0,0,0,1,0,1,0,0
alumni sekte togel banyak kena gangguan jiwa :)) #KARMA,1,1,0,1,0,0,1,0,0,0,1,0
Cocot bosok.',1,1,1,0,0,0,1,0,0,1,0,0
USER FI : Ni cewek satu agak burik keknya\n\nNow : BGSD TERNYATA HODE BURIK',1,1,1,0,0,0,0,1,0,1,0,0
USER USER rep help rt lelang acc ??? mata lo picek? mentang2 username kita sama2 y depannya terus lo bilang kalo gue ngikutin usn lo? pengen amat lo diikutin segalanya',1,1,1,0,0,0,1,0,0,1,0,0
USER USER bacot kamu pecun',1,1,1,0,0,0,0,1,0,1,0,0
USER kaya tai congor jebleh lebar kaya anjing',1,1,1,0,0,0,1,0,0,1,0,0
USER mata lo picek',1,1,1,0,0,0,1,0,0,1,0,0
Kalo badan ue bisa ngomong:\n\xe2\x80\x9cHoi lu ngga denger tulang gue bunyi semua? Mata gue lelah liatin layar mele! Tangan capek ngetik mele? Heh budek apa lu?!\xe2\x80\x9d\n\n\xe2\x80\x9cGue denger bego!! Maafin ue\xe2\x80\x9d \xf0\x9f\x98\xad\xf0\x9f,1,1,1,0,0,0,1,0,0,1,0,0
USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram,1,1,0,1,0,0,0,1,0,0,1,0
USER USER USER Lo bilang otak gue belatung bersarang?? Ahhh! Ehhh banci!! Bukannya itu isi otak dan hati lo.. isinya belatung bangke karena kebencian akut lo!! \xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae',1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER USER USER itu BENCONG hasil selingkuhan maknya p3r3k gerwani dgn kuda wowok... lahir lah si onta bencong akun abal2..... ngeooaahahahaaaaa \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\xa6\xf,1,1,1,0,0,0,0,1,0,1,0,0
"USER Saya tiba2 langsung stroke, wekekkeke ini mah cuma orang picek aja yg gak tau'",1,1,1,0,0,0,1,0,0,1,0,0
"- lipstick di sapu tangan Bora.\n\nDan diriku dalam hati, ""Mampus malu luh. Makan tuh cipokan.""'",1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER USER USER Si rosa ini kok mukanya tugu peringatan kenapa nggak batu nissan.. yg gentle dong, nggak apa2 juga kaum cebong'",1,1,1,0,0,0,1,0,0,1,0,0
RT USER: Sebab tu tahun demi tahun semakin kurang peluang pekerjaan untuk rakyat sendiri. Warga asing ni semua dah bolot sektor se\xe2\x80\xa6',1,1,0,1,0,0,1,0,0,0,1,0
"muke lu katrok, tampang & kelakuan sinkron",1,1,1,0,0,0,1,0,0,1,0,0
dia enggak hebat. pengikutnya aja yang dungu bin idiot. URL,1,1,0,1,0,0,1,0,0,0,1,0
USER Dih kntl.',1,1,1,0,0,0,0,1,0,1,0,0
"si kunyuk makin gak jelas lama lama twitnya menggenapka generalisasi kaumnya , bacot tanpa mutu seperti yg sudah terlihat 2th terakhir disini.... sarap'",1,1,1,0,0,0,1,0,0,1,0,0
USER USER neng ...itu bpk yg terhormat ga pke mulut klo ngomong.mohon maaf dia pke SILIT',1,1,1,0,0,0,1,0,0,1,0,0
USER USER MULUT KAMPANG',1,1,1,0,0,0,1,0,0,1,0,0
Kenapa ya gue punya kakak laki mulutnya lemes banget kek banci yg lagi marah.\n\nMentolo tak guak cangkem e.',1,1,1,0,0,0,0,1,0,1,0,0
"Gampangan banget sih jadi orang, baru dipuji dikit aja udah kaya mau ngasih kehormatannya aja haha TOLOL'",1,1,1,0,0,0,0,1,0,1,0,0
Gpp lah drpd si tabib cabul.. Teriak2 gak karuan sambi ngocok tongkol minta gbr bugil pecun... Hoaalaaaah gak ngebayang ana.. Dasar binatang \xf0\x9f\x98\x84\xf0\x9f\x98\x84 URL,1,1,1,0,0,0,0,1,0,1,0,0
"USER Presiden yg mempermalukan bangsanya sendiri, plonga plongo tolah toleh macam boneka idiot",1,1,1,0,0,0,1,0,0,1,0,0
"dengan senang hati. Si cewek tadi dilepasin dan si mbaknya naik ke angkutan umum itu. Jadilah di mbaknya di gang bang sama para rapist kunyuk itu. Setelah selesai, si mbaknya balik ke mobilnya. Sebelum ngegas pergi, dia bilang ke para rapist itu.'",1,1,0,1,0,0,0,1,0,0,1,0
USER cacat lu',1,1,1,0,0,0,1,0,0,1,0,0
USER Banci!!!! Kalau memang gentlemen Sebut saja siapa orangnya!!!',1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER USER Puisi untukmu:\nElu bajingan\nWajahmu setan\nMulutmu iblis\nMengaku manusia\nPadahal binatang mesum\n\n-- seni nyet --',1,1,1,0,0,0,1,1,0,1,0,0
USER USER USER Lekong,1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Masalahnya si banci dengan akun palsu itu bilang utang pemerintah era USER,1,1,1,0,0,0,0,1,0,1,0,0
USER Jablay gitu bazeng:((',1,1,1,0,0,0,0,1,0,1,0,0
"wOe CeBoNg LoE yA, dAsAr kOMuNis, aThEiS, siLiPis, AuTiS, sALiBiS'",1,1,0,1,0,0,1,0,0,0,1,0
USER mata gue picek sama dia yg pake koma koma',1,1,1,0,0,0,1,0,0,1,0,0
USER cowonya kasi ke gua aj bgst.\nlo bejat bener jd cewe astaga',1,1,1,0,0,0,0,1,0,1,0,0
USER Nate bocah kontol goblok sontoloyo kepala getel sial asu brengset',1,1,1,0,0,0,0,1,0,1,0,0
USER USER Anti kritik kontol mu bangsad. Org idiot aja tau itu hate speech',1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER USER USER USER Matamu lah picek...buktikn bukan hoax dan buktikn kalau km kgk mlorot otak.',1,1,1,0,0,0,1,0,0,1,0,0
RT USER: agel perek gausah rt rt:) USER',1,1,1,0,0,0,0,1,0,1,0,0
USER Kenapa pemain cacat dimasukin.?\xf0\x9f\x98\xb2\xf0\x9f\x98\xb2\xf0\x9f\x98\xb2.\nTeco tolol',1,1,1,0,0,0,1,0,0,1,0,0
Kenapa awalnya gue harus kenal lo kalo\nakhirnya kita sama2 kayak saling gak kenal? Dasar BANCI',1,1,1,0,0,0,0,1,0,1,0,0
USER USER perek lu mah',1,1,1,0,0,0,0,1,0,1,0,0
"Aku suka payudaramu.\n""DASAR KURANG AJAR KAU!"" Katanya, sambil menamparku.\nLalu, untuk apa dipamerkan, jika tak ingin dipuji? .....\n\nBrengsek!'",1,1,1,0,0,0,0,1,0,1,0,0
USER Otw maho kamu mah.',1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER USER USER USER Dasar bloon, tw mana fiksi? sekarang mengunduh buku gampang dasar perek harga seratusan\xf0\x9f\x98\x82\xf0\x9f\x98\x81\xf0\x9f\x98\x82'",1,1,1,0,0,0,0,1,0,1,0,0
USER USER Bukannya malu kok malah ketawa. Dasar idiot',1,1,1,0,0,0,1,0,0,1,0,0
"USER udah jelek, budek lagii :( .nga'",1,1,1,0,0,0,1,0,0,1,0,0
USER tulisan lu gua g bisa dipahami ama gua. soalnya otak gua bukan otak otak autis gak kek yg bikin thread gblknya ampe selkulit matii. lnjt boleh?',1,1,1,0,0,0,1,0,0,1,0,0
"Ni cara bicara org msh ingusan,, bicara ny sdh sngt ngawur dan keterlaluan,, dan akhir ny gue di block,, banci lo URL",1,1,1,0,0,0,0,1,0,1,0,0
USER bangke lu yen cabul',1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER Aduhhh bencong USER, nyerang apa cong ? Gak kebalik? Rumpi deh lonte lanang ini.. dapur apa cong? Yg jelas dong.. jd banci jangan separo2.. kalah sama anaknya duda yg jd designer di LN lo.. \xf0\x9f\x98\x82\xf0\x9f\xa4\xaa\xf0\x9f\x99\x8b\x",1,1,1,0,0,0,0,1,0,1,0,0
"Indons : Alhamdulillah ya Allah udah nyelamatin anak2 Thailand \n\nThai : ??? yg nyelamatin kita manusia2 kapir. Bukan Tuhan lu, kontol!'",1,1,1,0,0,0,0,1,0,1,0,0
USER Situ juga sarap berarti anjer',1,1,1,0,0,0,1,0,0,1,0,0
USER Stupid question. Kalo mau ngentod gak usah puasa goblog.',1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER USER USER USER USER USER USER USER USER Biasa.. bani coli, ngga beda jauh sm junjungan dan kawan2nya.. haha'",1,1,0,1,0,0,0,1,0,0,1,0
USER Cacat sia USER',1,1,1,0,0,0,1,0,0,1,0,0
Mood kerja berubah krn ni banci! \xf0\x9f\x98\x8e\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3',1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER USER Udah jadi rahasia umum bong.!!\nKoruptor.\nRampok.\nPelaku maksiat.\nPelaku bisnis maksiat.\nKaum LGBT.\nPenjilat.\nDukun sesat.\nDukun cabul.\nBla bla bla..\nTergabung dlm bani cebong.,1,1,0,1,0,0,0,1,0,0,1,0
"USER Guwe anjing penasaran iya iya lah bisa ngomong, maju lu sini garuda kuping budek'",1,1,1,0,0,0,1,0,0,1,0,0
USER Yang ada di otaknya tentang kesetaraan gender cuma telanjang. Dasar mesum cacad.',1,1,1,0,0,0,1,1,0,1,0,0
USER udik bener kasian. mau ditidurin?',1,1,1,0,0,0,0,1,0,1,0,0
"USER Anjing tai goblok idiot bangsat monyet babi fucc, kont, ngents, goblok. \n\nIya tau kasar bgt maaf'",1,1,1,0,0,0,1,1,0,1,0,0
Cowo yg hobi selfie itu ga ada beda ny sama lekong &amp; banci kaleng',1,1,0,1,0,0,0,1,0,0,1,0
USER USER pea kesayangan kecintaan bolot sok pinter pdhl lbh lemot dr gua',1,1,1,0,0,0,1,0,0,1,0,0
"USER Terlihat salah satu pendukung mafia koruptor dan penista agama, para gerombolan BANCI TITOT lakukan bidikan ke arah",1,1,0,1,0,0,0,1,0,0,1,0
USER USER USER USER USER USER USER USER USER USER USER Congornya persis congor onta.\xf0\x9f\x90\xab\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,1,0,0,1,0,0
Cowo brengsek semua ya',1,1,0,1,0,0,0,1,0,0,1,0
Ini mah budek si gendut USER',1,1,1,0,0,0,1,0,0,1,0,0
USER ahmad dhani yang terhormat paling babi paling anjing aing kontol paling lonte tungu saat nya karier mu akan habis!!!!,1,1,1,0,0,0,0,1,0,1,0,0
"USER USER Hei kampret goblok,idiot bin pekok...,kau baca ini.\nPekok dipiara peet kampret...\nmasih msu tanya lagi sehak kapan Turki dan Israel pny hubungan Diplomatik? URL",1,1,1,0,0,0,1,0,0,1,0,0
Nama: Rizieq Shihab Status: Tersangka Kasus: Konten Pornografi (diduga) Mendukung Anies-Sandi,1,0,1,0,0,0,0,1,0,1,0,0
"ini mark yg milih sireena,matanya lagi picek sebelah apa?'",1,1,1,0,0,0,1,0,0,1,0,0
USER Kau memang cacat',1,1,1,0,0,0,1,0,0,1,0,0
"Yg paling mirisnya, mereka tuh cowo bertiga anj anj anj anj anj! COWO LOH! Sanggup ya mulutnya ngerumpi terus gbisa diam kaya congor bebek. Sampe film nya habis anjiiirr! Kesal ke ubun ubun dah ketahan dlm hati karena pasti ga enak jg ikutan emosi apalag",1,1,1,0,0,0,0,1,0,1,0,0
USER USER Amit amit.. Udah doer burik kriput diposting.. Anjing juga ogah ngliatnya jijik',1,1,1,0,0,0,1,0,0,1,0,0
"USER Chinese pasrahan, becek, suka teriak, doyan ngewe, sering jg dpt yg squirt...'",1,1,0,1,0,0,0,1,0,0,1,0
"USER USER USER USER bani selangkangan,cabol...'",1,1,0,1,0,0,0,1,0,0,1,0
"Block aja lah si bencong asu \xf0\x9f\x98\x82\nKalo cuma main upload screenshot mah gue juga bisa bencong tolol! :v\nLaki itu ketemu dan adu jotos,, bukannya malah nyinyir dan upload screenshotan! :v\nDasar bencong kontol! \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",1,1,1,0,0,0,0,1,0,1,0,0
Asuog wasite picek jingan',1,1,1,0,0,0,1,0,0,1,0,0
USER ah dasar jablay murah',1,1,1,0,0,0,0,1,0,1,0,0
